pu pu
sh sh
pa pa
ra ra
sh sh
mi mi
ma ma
ni ni
mi mi
ni ni
ra ra
ji ji
th th
th th
ra ra
ju ju
ru ru
k k
mi mi
ni ni
gan lam
ga na
ba ba
bu bu
ra ra
dha dha
s s
ree ree
ja ja
ya ya
sa sa
si si
vi vi
ji ji
s s
ru ru
thi thi
ba ba
la la
ba ba
la la
n n
p p
ree see
tha tha
a a
r r
ju ju
n n
ra ra
vi vi
u u
sha sha
au a
gu da
s s
ti t
n n
jo mo
se sa
ph n
li li
s s
sy si
ji ji
thi thi
n n
ra ra
ja ja
n n
tha tha
n n
ka ka
a a
khi khi
l l
u u
n n
ni ni
ka ka
ma ma
la la
ra ra
ma ma
kri kri
sh sh
na na
n n
p p
ra ra
sa sa
n n
na na
ni ni
dhi dhi
n n
ra ra
gha gha
va va
n n
sh sh
ay ya
la la
sa sa
n n
dee dee
p p
su su
ku ku
ma ma
ra ra
n n
ke re
thy thi
re re
sh sh
ma ma
ra ra
vi vi
cha cha
n n
d d
ra ra
n n
u u
sha sha
sa sa
nu nu
sha sha
j j
yo yo
thi thi
p p
ra ra
ka ka
sh d
sa sa
n n
dh dh
ya ya
sa sa
ri ri
tha tha
cha ma
th th
tha tha
n n
so so
bha bha
sa sa
ra ra
n n
ya ya
ra ra
ja ja
n n
sa sa
ra ra
da da
s s
ree ree
sa sa
g n
s s
ree ree
dha dha
ra ra
n n
gee gee
tha tha
su su
bi bi
n n
ba ba
bu bu
sa sa
n n
tha tha
sam a
vru mri
tha tha
si si
d d
dha ra
n n
o o
ma ma
na na
vi vi
sh sh
nu nu
ma ma
l l
la la
n n
gou sou
ri ri
ra ra
khi ji
mo mo
l l
ra ra
thee nee
sh sh
ra ra
ji ji
a a
ha ha
na na
u u
n n
ni ni
kri kri
sh sh
na na
n n
a a
ji ji
tha tha
a a
di di
th th
ya ya
n n
ma ma
dhu dhu
re j
va va
thy thi
ra ra
jee jee
sha sha
mo mo
l l
ra ra
ji ji
ni ni
thi bi
n n
la ma
l l
ba ba
la la
n n
see bee
na na
sa sa
n n
dh dh
ya ya
ku ku
n n
nji ji
ra ra
ma ma
n n
sa sa
n n
tha tha
vi vi
pi ji
na na
cha cha
n n
d d
ra ra
n n
va va
sa sa
n n
tha tha
vi vi
sh sh
nu nu
bi bi
n n
dhu du
vri ku
n n
dha da
bi bi
nu nu
ma ma
la la
thi thi
ni ni
th th
ya ya
lee lee
la la
sa sa
bi bi
tha tha
cha ma
th th
tha tha
n n
so so
bha bha
s s
ree ree
ra ra
g n
see see
tha tha
a a
ji ji
tha tha
go go
pi pi
ja bha
nu nu
s s
ree ree
ra ra
ja ja
la la
k k
sh sh
mi mi
ra ra
ja ja
n n
gee gee
tha tha
su su
bee re
sh sh
 
